"Year","CITATION","SAMPLE NAME","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE, PREFIX","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","RIM/CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","METHOD","COMMENT","INSTITUTION","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","PB(PPM)","TH(PPM)","TH(PPM)","U(PPM)","ND143_ND144","SM147_ND144","PB207_PB206","PB208_PB206","PB206_U238","ALBITE(MOL%)","ANORTHITE(MOL%)","ORTHOCLASE(MOL%)","ULVOSPINEL(MOL%)","AGE(MA)",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN070A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","50.94","1.38","15.75","","11.44","","8.84","5.17","0.22","1.88","3.96","0.42","","","273","89","48","31","17","106","17.1","190","398","35","70","4","","147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN064B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","49.76","0.97","19.28","","10.47","","10.01","5.44","0.15","0.19","3.52","0.22","","","267","48","43","15","37","76","19.8","3","596","14","12","3","","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN069A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","49.74","0.96","16.57","","10.83","","11.66","6.89","0.17","0.5","2.33","0.33","","","260","144","55","47","85","87","16.4","14","539","18","44","5","","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN068A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","50.06","1.25","16.29","","11.94","","9.56","6.28","0.18","0.32","3.8","0.31","","","249","151","64","79","26","90","16.3","6","534","25","80","2","","197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN022A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","50.22","0.76","16.6","","10.75","","9.02","7.96","0.16","2.33","2.01","0.19","","","255","233","50","79","101","93","16.6","57","616","18","45","4","","747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN017B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","51.55","1.19","17.21","","11.75","","8.67","4.86","0.21","0.7","3.47","0.4","","","279","48","50","16","155","126","19.1","10","716","23","60","3","","493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN011B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","53.29","1.65","14.72","","13.4","","6.94","4.35","0.2","0.69","4.45","0.3","","","360","7","60","9","51","120","20.2","12","369","27","89","2","","289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN063B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANDESITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","55.86","1.04","16.6","","10.95","","8.11","3.97","0.19","0.24","2.78","0.26","","","260","14","53","7","40","114","18.3","5","698","16","43","5","","171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN019C","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANDESITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","57.25","1.4","15.6","","9.71","","5.74","3.28","0.2","1.81","4.02","0.97","","","114","8","45","3","2","135","19.8","39","405","33","100","","","501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN070B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","64.54","0.62","15.56","","5.65","","5.21","2.43","0.1","2.05","3.65","0.19","","","120","33","95","5","36","67","16.4","47","472","18","111","6","","846","","","","","","","","","","","","","","","","10","5.3","5.3","2.1","","","","","","","","","","",
