Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14988836,0,"Saturday, May 21, 2011 09:06:50 UTC",33.9665,-116.5598,1.4,9.30,54,"Southern California"
ak,10237914,2,"Saturday, May 21, 2011 08:33:21 UTC",65.3689,-166.8913,5.2,19.20,22,"northern Alaska"
ak,10237907,2,"Saturday, May 21, 2011 07:42:46 UTC",58.1643,-151.4626,3.3,32.90,54,"Kodiak Island region, Alaska"
ci,14988828,0,"Saturday, May 21, 2011 07:31:41 UTC",33.1555,-116.1015,1.5,9.70,82,"Southern California"
nc,71573030,0,"Saturday, May 21, 2011 07:21:41 UTC",36.7657,-121.3738,1.2,4.90,11,"Central California"
us,c0003khu,7,"Saturday, May 21, 2011 06:31:52 UTC",-25.8212,179.5001,4.9,523.60,58,"south of the Fiji Islands"
nc,71573005,0,"Saturday, May 21, 2011 06:04:56 UTC",37.3580,-121.7197,1.3,8.60,14,"San Francisco Bay area, California"
nc,71572995,0,"Saturday, May 21, 2011 05:39:36 UTC",36.6500,-121.2700,1.4,8.50,11,"Central California"
us,c0003khm,7,"Saturday, May 21, 2011 05:35:26 UTC",39.0404,142.3106,4.6,35.30,97,"near the east coast of Honshu, Japan"
ak,10237887,1,"Saturday, May 21, 2011 05:31:17 UTC",61.4880,-149.4590,1.9,28.80,20,"Southern Alaska"
ci,14988820,0,"Saturday, May 21, 2011 05:18:30 UTC",33.7862,-116.1460,2.1,10.30,92,"Southern California"
hv,60236651,1,"Saturday, May 21, 2011 04:45:30 UTC",19.2885,-155.7718,3.0,10.20,39,"Island of Hawaii, Hawaii"
us,c0003khb,5,"Saturday, May 21, 2011 04:35:38 UTC",-9.8888,160.8605,4.8,41.70,28,"Solomon Islands"
ak,10237872,2,"Saturday, May 21, 2011 04:28:25 UTC",61.3943,-150.6782,1.5,63.70,11,"Southern Alaska"
nn,00338129,7,"Saturday, May 21, 2011 04:17:44 UTC",37.4613,-117.7568,1.5,2.20,13,"Nevada"
ak,10237866,1,"Saturday, May 21, 2011 03:54:16 UTC",64.7750,-147.7892,1.4,14.60,11,"Central Alaska"
ci,14988796,0,"Saturday, May 21, 2011 03:32:58 UTC",33.4187,-116.3653,1.2,16.20,52,"Southern California"
