"","x","y","z"
"1",181072,333611,1022
"2",181025,333558,1141
"3",181165,333537,640
"4",181298,333484,257
"5",181307,333330,269
"6",181390,333260,281
"7",181165,333370,346
"8",181027,333363,406
"9",181060,333231,347
"10",181232,333168,183
"11",181191,333115,189
"12",181032,333031,251
"13",180874,333339,1096
"14",180969,333252,504
"15",181011,333161,326
"16",180830,333246,1032
"17",180763,333104,606
"18",180694,332972,711
"19",180625,332847,735
"20",180555,332707,1052
"21",180642,332708,673
"22",180704,332717,402
"23",180704,332664,343
"24",181153,332925,218
"25",181147,332823,200
"26",181167,332778,194
"27",181008,332777,207
"28",180973,332687,180
"29",180916,332753,240
"30",181352,332946,180
"31",181133,332570,208
"32",180878,332489,198
"33",180829,332450,250
"34",180954,332399,192
"35",180956,332318,213
"36",180710,332330,321
"37",180632,332445,569
"38",180530,332538,833
"39",180478,332578,906
"40",180383,332476,1454
"41",180494,332330,298
"42",180561,332193,167
"43",180451,332175,176
"44",180410,332031,258
"45",180355,332299,746
"46",180292,332157,746
"47",180283,332014,464
"48",180282,331861,365
"49",180270,331707,282
"50",180199,331591,375
"51",180135,331552,222
"52",180237,332351,812
"53",180103,332297,1548
"54",179973,332255,1839
"55",179826,332217,1528
"56",179687,332161,933
"57",179792,332035,432
"58",179902,332113,550
"59",180100,332213,1571
"60",179604,332059,1190
"61",179526,331936,907
"62",179495,331770,761
"63",179489,331633,659
"64",179414,331494,643
"65",179334,331366,801
"66",179255,331264,784
"67",179470,331125,1060
"68",179692,330933,119
"69",179852,330801,778
"70",179140,330955,703
"71",179128,330867,676
"72",179065,330864,793
"73",179007,330727,685
"74",179110,330758,593
"75",179032,330645,549
"76",179095,330636,680
"77",179058,330510,539
"78",178810,330666,560
"79",178912,330779,1136
"80",178981,330924,1383
"81",179076,331005,1161
"82",180151,330353,1672
"83",179211,331175,765
"84",181118,333214,279
"85",179474,331304,241
"86",179559,331423,317
"87",179022,330873,545
"88",178953,330742,505
"89",178875,330516,420
"90",178803,330349,332
"91",179029,330394,400
"92",178605,330406,553
"93",178701,330557,577
"94",179547,330245,155
"95",179301,330179,224
"96",179405,330567,180
"97",179462,330766,226
"98",179293,330797,186
"99",179180,330710,198
"100",179206,330398,187
"101",179618,330458,199
"102",179782,330540,157
"103",179980,330773,203
"104",180067,331185,143
"105",180162,331387,136
"106",180451,331473,117
"107",180328,331158,113
"108",180276,330963,130
"109",180114,330803,192
"110",179881,330912,240
"111",179774,330921,221
"112",179657,331150,140
"113",179731,331245,128
"114",179717,331441,166
"115",179446,331422,191
"116",179524,331565,232
"117",179644,331730,203
"118",180321,330366,722
"119",180162,331837,210
"120",180029,331720,198
"121",179797,331919,139
"122",179642,331955,253
"123",179849,332142,703
"124",180265,332297,832
"125",180107,332101,262
"126",180462,331947,142
"127",180478,331822,119
"128",180347,331700,152
"129",180862,333116,415
"130",180700,332882,474
"131",180201,331160,126
"132",180173,331923,210
"133",180923,332874,220
"134",180467,331694,133
"135",179917,331325,141
"136",179822,331242,158
"137",179991,331069,129
"138",179120,330578,206
"139",179034,330561,451
"140",179085,330433,296
"141",179236,330046,189
"142",179456,330072,154
"143",179550,329940,169
"144",179445,329807,403
"145",179337,329870,471
"146",179245,329714,612
"147",179024,329733,601
"148",178786,329822,783
"149",179135,329890,258
"150",179030,330082,214
"151",179184,330182,166
"152",179085,330292,496
"153",178875,330311,342
"154",179466,330381,162
"155",180627,330190,375
